# number of LED, resolution of motor encoder 
32, 380 
222 125 92 
244 163 142 
232 159 137 
229 144 122 
234 150 125 
231 131 103 
227 119 88 
231 142 115 
229 122 89 
234 161 131 
234 157 125 
236 155 122 
234 154 123 
234 157 125 
253 227 211 
247 235 233 
251 242 239 
238 243 246 
214 147 114 
235 135 100 
234 129 88 
234 126 85 
228 122 81 
231 122 78 
229 121 80 
227 119 78 
230 119 81 
230 119 81 
228 121 88 
249 178 158 
229 155 127 
232 137 111 
225 125 91 
240 151 130 
228 156 132 
233 137 113 
235 142 116 
226 119 91 
224 117 89 
237 146 119 
225 106 74 
234 161 131 
234 157 125 
236 155 122 
234 154 123 
232 157 125 
253 227 211 
246 235 231 
250 241 237 
238 243 244 
228 140 104 
236 136 101 
234 129 90 
234 126 85 
232 121 81 
230 120 78 
231 117 80 
227 119 78 
229 118 80 
233 119 82 
233 123 89 
252 177 155 
235 158 132 
241 134 106 
231 122 94 
239 147 122 
234 154 129 
233 132 107 
237 140 112 
226 117 85 
226 119 91 
236 146 116 
225 101 67 
234 161 131 
234 157 125 
236 155 122 
234 154 123 
232 157 125 
249 220 205 
246 234 228 
250 239 235 
255 240 228 
235 144 107 
235 135 100 
234 129 90 
232 126 85 
232 121 81 
230 122 81 
229 115 78 
228 120 79 
229 115 78 
232 121 83 
234 119 86 
250 177 157 
239 159 134 
232 129 97 
225 122 90 
233 142 115 
238 147 120 
224 124 96 
235 136 104 
228 116 86 
229 122 94 
235 135 110 
220 98 62 
234 161 131 
234 157 125 
236 155 122 
234 154 125 
234 159 127 
250 214 196 
246 232 226 
251 239 227 
255 226 209 
240 144 108 
234 137 101 
234 129 90 
231 126 85 
232 121 81 
231 125 88 
246 141 108 
228 120 79 
229 118 78 
232 123 85 
227 120 87 
243 174 155 
234 157 131 
230 127 95 
226 123 91 
233 139 110 
226 130 100 
232 124 93 
232 126 95 
225 114 82 
228 124 95 
237 131 107 
223 94 55 
234 161 131 
234 157 125 
236 155 122 
235 155 124 
234 159 127 
250 214 196 
242 229 221 
245 229 213 
251 209 190 
239 142 108 
233 136 100 
232 129 90 
231 126 85 
233 122 82 
234 129 96 
233 138 105 
230 119 79 
228 117 77 
233 124 86 
234 130 95 
241 184 163 
232 152 127 
226 121 88 
229 124 91 
234 135 107 
229 126 94 
228 111 80 
237 124 92 
221 112 80 
222 119 94 
226 110 79 
226 95 56 
234 161 131 
234 157 125 
236 155 122 
235 155 124 
233 158 126 
248 209 194 
237 222 213 
242 222 205 
210 156 133 
223 137 107 
234 136 102 
232 129 90 
232 127 86 
234 123 83 
236 138 108 
219 125 90 
230 119 79 
230 117 77 
230 124 83 
236 133 100 
238 185 164 
233 149 123 
232 123 91 
229 121 87 
234 132 103 
230 118 88 
224 109 76 
232 116 85 
222 112 82 
236 142 113 
226 103 67 
219 92 53 
234 161 131 
234 157 125 
237 156 123 
235 155 124 
233 158 126 
248 200 182 
236 218 207 
243 216 196 
214 159 138 
230 147 116 
233 134 102 
232 129 90 
233 128 87 
234 123 83 
229 127 98 
220 121 83 
230 119 79 
229 116 76 
229 123 82 
229 129 95 
240 186 163 
234 143 116 
231 122 90 
228 122 85 
230 129 97 
226 113 80 
228 108 72 
226 113 80 
228 116 86 
240 143 115 
215 95 53 
218 91 52 
235 159 130 
234 157 125 
237 156 123 
235 155 124 
234 157 124 
239 189 171 
240 214 200 
241 208 188 
235 182 161 
222 140 109 
233 136 103 
230 129 91 
233 128 87 
234 123 83 
230 128 93 
229 124 85 
232 119 79 
229 116 76 
228 123 84 
226 128 94 
239 182 160 
231 137 108 
234 121 88 
230 118 82 
229 122 89 
222 107 70 
225 107 72 
226 110 77 
224 112 82 
231 121 95 
219 93 52 
218 89 50 
235 159 130 
232 157 125 
237 156 123 
235 156 123 
233 156 123 
229 166 146 
237 208 193 
238 199 177 
250 197 176 
229 144 112 
233 136 103 
231 130 92 
232 127 86 
232 124 83 
231 122 84 
227 121 80 
233 120 80 
232 116 75 
229 120 82 
227 129 95 
246 179 156 
237 137 108 
234 121 88 
231 115 80 
225 112 79 
222 107 70 
226 106 70 
227 109 74 
231 119 89 
219 103 70 
219 90 51 
218 89 50 
235 159 130 
232 157 125 
237 156 123 
235 155 124 
233 156 123 
229 163 144 
234 199 186 
240 196 173 
255 204 183 
224 137 103 
234 137 103 
229 130 92 
232 127 86 
231 123 82 
231 123 82 
227 122 79 
232 119 79 
231 115 74 
234 121 81 
226 128 94 
244 168 145 
234 137 104 
234 120 84 
229 109 74 
226 112 72 
224 104 69 
225 103 67 
225 107 72 
236 118 83 
223 96 58 
219 90 51 
220 89 49 
235 159 130 
232 157 125 
235 156 123 
237 155 124 
233 156 123 
228 152 130 
231 192 178 
241 185 166 
254 198 179 
232 141 110 
235 138 104 
229 130 92 
232 127 86 
232 124 83 
232 124 83 
229 121 80 
231 119 77 
230 114 73 
233 121 79 
223 121 86 
241 157 131 
228 125 92 
231 122 84 
231 110 71 
229 111 70 
227 104 68 
224 101 63 
222 102 66 
228 109 70 
221 92 53 
219 91 50 
217 88 49 
235 159 130 
232 157 125 
235 156 123 
237 155 124 
233 156 123 
228 152 130 
234 186 174 
242 183 164 
245 188 167 
231 138 107 
238 141 107 
229 130 92 
232 127 86 
233 125 84 
231 123 82 
231 120 80 
231 119 77 
232 116 75 
232 116 75 
223 119 82 
236 152 126 
228 120 86 
229 121 80 
228 107 68 
227 106 67 
226 102 62 
225 101 60 
221 100 61 
222 103 64 
219 92 53 
218 89 50 
220 89 50 
235 159 130 
232 157 125 
235 156 123 
236 154 123 
233 156 124 
228 152 130 
233 181 165 
243 179 161 
230 170 148 
231 138 107 
239 141 107 
230 130 95 
233 127 86 
234 126 85 
231 123 82 
231 121 79 
230 118 76 
233 115 74 
230 114 73 
224 117 79 
242 152 122 
226 116 80 
232 118 77 
229 108 69 
225 103 63 
225 101 60 
223 99 58 
222 100 60 
226 104 68 
219 92 53 
220 89 49 
220 89 50 
235 159 130 
232 157 125 
235 156 123 
236 154 123 
233 155 126 
237 155 130 
234 174 158 
242 176 158 
236 180 155 
234 138 108 
239 141 107 
233 133 98 
234 128 87 
236 128 87 
231 123 82 
230 120 78 
232 118 77 
231 115 74 
230 114 73 
229 120 82 
244 148 118 
224 110 73 
233 113 71 
229 106 68 
227 103 63 
225 101 60 
226 100 59 
223 99 59 
238 119 80 
219 97 57 
219 91 50 
220 89 49 
235 159 130 
232 157 125 
235 156 123 
237 155 124 
233 156 124 
242 160 135 
236 170 152 
242 176 157 
238 181 155 
236 139 106 
238 141 107 
232 135 97 
233 128 89 
234 126 85 
230 122 81 
229 119 77 
232 118 77 
231 115 74 
229 113 72 
230 117 77 
239 142 109 
226 109 72 
230 106 65 
230 103 64 
230 104 63 
224 100 59 
223 97 56 
229 107 67 
232 124 83 
220 91 52 
222 90 50 
218 89 50 
235 159 130 
231 156 124 
235 156 123 
236 155 122 
233 154 127 
236 152 124 
228 157 137 
236 173 152 
249 195 170 
236 137 105 
238 141 107 
231 136 97 
234 127 89 
235 124 84 
231 120 80 
230 120 78 
231 117 76 
231 115 74 
232 114 73 
228 112 71 
229 129 94 
231 109 73 
230 107 63 
228 104 63 
228 103 59 
226 100 59 
224 98 57 
220 96 55 
228 116 74 
225 92 54 
222 91 52 
218 88 51 
235 159 130 
231 156 124 
235 156 123 
235 153 122 
233 154 127 
236 152 124 
233 159 135 
228 170 148 
249 198 172 
238 135 103 
236 142 107 
232 135 99 
235 130 91 
235 124 84 
231 120 80 
230 120 78 
230 116 75 
231 115 74 
230 112 71 
232 111 71 
229 124 83 
232 109 71 
227 106 62 
227 104 60 
228 103 59 
224 98 57 
222 98 57 
222 98 57 
220 99 57 
223 95 54 
223 96 58 
220 98 62 
235 159 130 
231 156 124 
234 155 122 
235 153 122 
231 154 128 
236 148 118 
237 160 134 
229 172 150 
246 192 167 
238 135 103 
234 140 105 
233 136 100 
233 130 91 
233 125 84 
231 120 82 
230 119 79 
228 116 74 
231 115 74 
230 112 71 
230 112 70 
237 125 83 
230 112 71 
229 106 62 
227 104 60 
227 102 58 
225 99 58 
222 98 57 
221 97 56 
227 99 58 
218 92 51 
223 97 62 
222 105 66 
235 159 130 
231 156 124 
233 156 123 
234 155 122 
231 154 128 
234 147 115 
235 158 131 
227 173 150 
248 191 165 
235 135 101 
232 135 102 
236 139 105 
232 129 90 
234 126 85 
232 121 83 
230 119 79 
228 116 74 
232 114 73 
231 110 70 
228 110 68 
231 116 73 
227 111 70 
228 105 61 
228 103 59 
226 101 57 
225 99 58 
224 98 57 
222 98 57 
226 98 55 
225 94 54 
222 97 59 
225 103 63 
235 159 130 
231 156 124 
233 156 123 
234 155 122 
235 155 130 
235 148 114 
235 157 128 
231 177 154 
233 173 144 
234 136 102 
230 135 102 
238 143 110 
233 130 91 
235 127 86 
233 122 84 
230 119 79 
231 117 76 
233 115 74 
229 111 69 
229 111 69 
231 113 71 
225 110 67 
230 105 61 
228 103 59 
226 101 57 
225 99 58 
224 98 57 
222 98 57 
225 99 58 
225 94 51 
220 93 54 
228 104 63 
235 159 130 
232 157 125 
233 156 123 
233 155 119 
235 156 129 
231 146 114 
231 151 120 
237 180 159 
227 163 138 
237 137 102 
234 137 103 
235 142 109 
235 132 93 
233 127 86 
234 123 85 
226 120 79 
232 118 77 
234 116 75 
230 112 70 
229 111 69 
229 111 69 
228 110 68 
230 105 61 
228 103 59 
227 102 58 
225 99 58 
224 99 55 
224 98 57 
226 104 64 
227 97 50 
221 93 52 
217 93 53 
235 159 130 
232 157 125 
233 156 123 
233 155 119 
239 157 132 
231 146 114 
227 147 116 
231 173 151 
236 172 147 
235 138 100 
234 140 105 
234 145 111 
233 132 93 
232 126 85 
232 121 81 
227 121 80 
231 117 77 
233 115 74 
230 112 70 
229 111 69 
227 110 65 
229 110 65 
229 104 60 
229 104 60 
226 101 57 
225 99 58 
224 99 55 
224 99 55 
222 98 57 
222 94 51 
222 92 49 
221 90 50 
235 159 130 
231 155 126 
233 156 123 
233 155 119 
239 157 132 
231 148 116 
229 147 116 
229 172 151 
241 177 153 
233 139 103 
236 140 104 
233 146 112 
231 131 96 
231 126 87 
232 121 81 
229 121 80 
230 116 76 
233 115 73 
231 113 71 
229 111 69 
